Node,Time,Value
bus_1001,1,0.0
bus_1001,2,0.0
bus_1001,3,0.0
bus_1001,4,0.0
bus_1001,5,0.0
bus_1001,6,0.0
bus_1001,7,0.0
bus_1001,8,0.0
bus_1001,9,0.0
bus_1001,10,0.0
bus_1001,11,0.0
bus_1001,12,0.0
bus_1001,13,0.0
bus_1001,14,0.0
bus_1001,15,0.0
bus_1001,16,0.0
bus_1001,17,0.0
bus_1001,18,0.0
bus_1001,19,0.0
bus_1001,20,0.0
bus_1001,21,0.0
bus_1001,22,0.0
bus_1001,23,0.0
bus_1001,24,0.0
bus_1081,1,0.0
bus_1081,2,0.0
bus_1081,3,0.0
bus_1081,4,0.0
bus_1081,5,0.0
bus_1081,6,0.0
bus_1081,7,0.0
bus_1081,8,0.0
bus_1081,9,0.0
bus_1081,10,0.0
bus_1081,11,0.0
bus_1081,12,0.0
bus_1081,13,0.0
bus_1081,14,0.0
bus_1081,15,0.0
bus_1081,16,0.0
bus_1081,17,0.0
bus_1081,18,0.0
bus_1081,19,0.0
bus_1081,20,0.0
bus_1081,21,0.0
bus_1081,22,0.0
bus_1081,23,0.0
bus_1081,24,0.0
bus_2001,1,0.0
bus_2001,2,0.0
bus_2001,3,0.0
bus_2001,4,0.0
bus_2001,5,0.0
bus_2001,6,0.0
bus_2001,7,0.0
bus_2001,8,0.0
bus_2001,9,0.0
bus_2001,10,0.0
bus_2001,11,0.0
bus_2001,12,0.0
bus_2001,13,0.0
bus_2001,14,0.0
bus_2001,15,0.0
bus_2001,16,0.0
bus_2001,17,0.0
bus_2001,18,0.0
bus_2001,19,0.0
bus_2001,20,0.0
bus_2001,21,0.0
bus_2001,22,0.0
bus_2001,23,0.0
bus_2001,24,0.0
bus_2008,1,0.0
bus_2008,2,0.0
bus_2008,3,0.0
bus_2008,4,0.0
bus_2008,5,0.0
bus_2008,6,0.0
bus_2008,7,0.0
bus_2008,8,0.0
bus_2008,9,0.0
bus_2008,10,0.0
bus_2008,11,0.0
bus_2008,12,0.0
bus_2008,13,0.0
bus_2008,14,0.0
bus_2008,15,0.0
bus_2008,16,0.0
bus_2008,17,0.0
bus_2008,18,0.0
bus_2008,19,0.0
bus_2008,20,0.0
bus_2008,21,0.0
bus_2008,22,0.0
bus_2008,23,0.0
bus_2008,24,0.0
bus_3002,1,0.0
bus_3002,2,0.0
bus_3002,3,0.0
bus_3002,4,0.0
bus_3002,5,0.0
bus_3002,6,0.0
bus_3002,7,0.0
bus_3002,8,0.0
bus_3002,9,0.0
bus_3002,10,0.0
bus_3002,11,0.0
bus_3002,12,0.0
bus_3002,13,0.0
bus_3002,14,0.0
bus_3002,15,0.0
bus_3002,16,0.0
bus_3002,17,0.0
bus_3002,18,0.0
bus_3002,19,0.0
bus_3002,20,0.0
bus_3002,21,0.0
bus_3002,22,0.0
bus_3002,23,0.0
bus_3002,24,0.0
bus_3006,1,0.0
bus_3006,2,0.0
bus_3006,3,0.0
bus_3006,4,0.0
bus_3006,5,0.0
bus_3006,6,0.0
bus_3006,7,0.0
bus_3006,8,0.0
bus_3006,9,0.0
bus_3006,10,0.0
bus_3006,11,0.0
bus_3006,12,0.0
bus_3006,13,0.0
bus_3006,14,0.0
bus_3006,15,0.0
bus_3006,16,0.0
bus_3006,17,0.0
bus_3006,18,0.0
bus_3006,19,0.0
bus_3006,20,0.0
bus_3006,21,0.0
bus_3006,22,0.0
bus_3006,23,0.0
bus_3006,24,0.0
bus_4002,1,0.0
bus_4002,2,0.0
bus_4002,3,0.0
bus_4002,4,0.0
bus_4002,5,0.0
bus_4002,6,0.0
bus_4002,7,0.0
bus_4002,8,0.0
bus_4002,9,0.0
bus_4002,10,0.0
bus_4002,11,0.0
bus_4002,12,0.0
bus_4002,13,0.0
bus_4002,14,0.0
bus_4002,15,0.0
bus_4002,16,0.0
bus_4002,17,0.0
bus_4002,18,0.0
bus_4002,19,0.0
